Frequency (Hz),Amplitude,Phase (radians)
0.1,[0.48886334 1.36978768 1.36978768],[ 3.14159265 -1.63955394  1.63955394]
0.2,[0.07961906 1.97882157 1.97882157],[ 0.         -1.55252291  1.55252291]
0.3,[0.66079225 1.02085543 1.02085543],[ 3.14159265 -1.57330121  1.57330121]
0.4,[0.66834628 1.0533562  1.0533562 ],[ 3.14159265 -1.50403848  1.50403848]
0.5,[0.02058028 1.76420335 1.76420335],[ 3.14159265 -1.43697     1.43697   ]
0.6,[0.71356884 1.05094673 1.05094673],[ 3.14159265 -1.3644659   1.3644659 ]
0.7,[0.25650347 1.50093437 1.50093437],[ 3.14159265 -1.28655368  1.28655368]
0.8,[0.67964673 1.01260967 1.01260967],[ 3.14159265 -1.06882577  1.06882577]
0.9,[0.61370016 1.20974318 1.20974318],[ 3.14159265 -1.0466898   1.0466898 ]
1.0,[0.62134748 1.13610921 1.13610921],[ 3.14159265 -0.79253693  0.79253693]
